Module	Section	Sample Name	Source
STAR	SummaryLog	ENB_1	/nfs/no_backup/jvalcarcel/emancini/anieto/03_align/ENB_1Log.final.out
STAR	SummaryLog	NSC_1	/nfs/no_backup/jvalcarcel/emancini/anieto/03_align/NSC_1Log.final.out
STAR	SummaryLog	ENB_3	/nfs/no_backup/jvalcarcel/emancini/anieto/03_align/ENB_3Log.final.out
STAR	SummaryLog	ENB_2	/nfs/no_backup/jvalcarcel/emancini/anieto/03_align/ENB_2Log.final.out
STAR	SummaryLog	NSC_2	/nfs/no_backup/jvalcarcel/emancini/anieto/03_align/NSC_2Log.final.out
STAR	SummaryLog	NSC_3	/nfs/no_backup/jvalcarcel/emancini/anieto/03_align/NSC_3Log.final.out
STAR	SummaryLog	LNB_1	/nfs/no_backup/jvalcarcel/emancini/anieto/03_align/LNB_1Log.final.out
STAR	SummaryLog	LNB_2	/nfs/no_backup/jvalcarcel/emancini/anieto/03_align/LNB_2Log.final.out
STAR	SummaryLog	LNB_3	/nfs/no_backup/jvalcarcel/emancini/anieto/03_align/LNB_3Log.final.out
STAR	ReadsPerGene	ENB_1	/nfs/no_backup/jvalcarcel/emancini/anieto/03_align/ENB_1ReadsPerGene.out.tab
STAR	ReadsPerGene	NSC_1	/nfs/no_backup/jvalcarcel/emancini/anieto/03_align/NSC_1ReadsPerGene.out.tab
STAR	ReadsPerGene	NSC_2	/nfs/no_backup/jvalcarcel/emancini/anieto/03_align/NSC_2ReadsPerGene.out.tab
STAR	ReadsPerGene	ENB_2	/nfs/no_backup/jvalcarcel/emancini/anieto/03_align/ENB_2ReadsPerGene.out.tab
STAR	ReadsPerGene	ENB_3	/nfs/no_backup/jvalcarcel/emancini/anieto/03_align/ENB_3ReadsPerGene.out.tab
STAR	ReadsPerGene	NSC_3	/nfs/no_backup/jvalcarcel/emancini/anieto/03_align/NSC_3ReadsPerGene.out.tab
STAR	ReadsPerGene	LNB_1	/nfs/no_backup/jvalcarcel/emancini/anieto/03_align/LNB_1ReadsPerGene.out.tab
STAR	ReadsPerGene	LNB_2	/nfs/no_backup/jvalcarcel/emancini/anieto/03_align/LNB_2ReadsPerGene.out.tab
STAR	ReadsPerGene	LNB_3	/nfs/no_backup/jvalcarcel/emancini/anieto/03_align/LNB_3ReadsPerGene.out.tab
