Sample	Unique Reads	Duplicate Reads
SRR5264037_1	10769185.0	7524324.0
SRR5264037_2	10889710.0	7403799.0
SRR5264040_1	7638898.0	6240220.0
SRR5264040_2	7692766.0	6186352.0
SRR5264043_1	8656227.0	5968493.0
SRR5264043_2	8760672.0	5864048.0
SRR5264054_1	8879831.0	6314514.0
SRR5264054_2	8960810.0	6233535.0
SRR5264057_1	6226892.0	3870522.0
SRR5264057_2	6321159.0	3776255.0
SRR5264060_1	11236192.0	8028753.0
SRR5264060_2	11311867.0	7953078.0
SRR5264067_1	7259336.0	4517163.0
SRR5264067_2	7379422.0	4397077.0
SRR5264070_1	11824549.0	7972630.0
SRR5264070_2	11945666.0	7851513.0
SRR5264073_1	4487712.0	3326268.0
SRR5264073_2	4624574.0	3189406.0
