Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-percent_gc
SRR5264037_1	41.1311173659	101.0	18293509.0	16.6666666667	47.0
SRR5264037_2	40.4722760327	101.0	18293509.0	25.0	48.0
SRR5264040_1	44.9612179333	101.0	13879118.0	8.33333333333	49.0
SRR5264040_2	44.5730968824	101.0	13879118.0	8.33333333333	49.0
SRR5264043_1	40.8109922549	101.0	14624720.0	16.6666666667	48.0
SRR5264043_2	40.0968244908	101.0	14624720.0	16.6666666667	49.0
SRR5264054_1	41.5583224371	101.0	15194345.0	16.6666666667	48.0
SRR5264054_2	41.0253631273	101.0	15194345.0	16.6666666667	48.0
SRR5264057_1	38.3318185543	101.0	10097414.0	16.6666666667	49.0
SRR5264057_2	37.3982486843	101.0	10097414.0	16.6666666667	49.0
SRR5264060_1	41.6754552646	101.0	19264945.0	16.6666666667	48.0
SRR5264060_2	41.2826444651	101.0	19264945.0	16.6666666667	48.0
SRR5264067_1	38.3574389319	101.0	11776499.0	25.0	49.0
SRR5264067_2	37.3377322062	101.0	11776499.0	16.6666666667	49.0
SRR5264070_1	40.2715497751	101.0	19797179.0	16.6666666667	47.0
SRR5264070_2	39.6597598603	101.0	19797179.0	16.6666666667	47.0
SRR5264073_1	42.5681790012	101.0	7813980.0	33.3333333333	50.0
SRR5264073_2	40.8166747765	101.0	7813980.0	33.3333333333	51.0
