Module	Section	Sample Name	Source
FastQC	all_sections	SRR5264057_1	/nfs/no_backup/jvalcarcel/emancini/anieto/SRR5264057_1_fastqc.zip
FastQC	all_sections	SRR5264070_1	/nfs/no_backup/jvalcarcel/emancini/anieto/SRR5264070_1_fastqc.zip
FastQC	all_sections	SRR5264070_2	/nfs/no_backup/jvalcarcel/emancini/anieto/SRR5264070_2_fastqc.zip
FastQC	all_sections	SRR5264037_2	/nfs/no_backup/jvalcarcel/emancini/anieto/SRR5264037_2_fastqc.zip
FastQC	all_sections	SRR5264037_1	/nfs/no_backup/jvalcarcel/emancini/anieto/SRR5264037_1_fastqc.zip
FastQC	all_sections	SRR5264054_2	/nfs/no_backup/jvalcarcel/emancini/anieto/SRR5264054_2_fastqc.zip
FastQC	all_sections	SRR5264060_2	/nfs/no_backup/jvalcarcel/emancini/anieto/SRR5264060_2_fastqc.zip
FastQC	all_sections	SRR5264060_1	/nfs/no_backup/jvalcarcel/emancini/anieto/SRR5264060_1_fastqc.zip
FastQC	all_sections	SRR5264054_1	/nfs/no_backup/jvalcarcel/emancini/anieto/SRR5264054_1_fastqc.zip
FastQC	all_sections	SRR5264067_2	/nfs/no_backup/jvalcarcel/emancini/anieto/SRR5264067_2_fastqc.zip
FastQC	all_sections	SRR5264073_2	/nfs/no_backup/jvalcarcel/emancini/anieto/SRR5264073_2_fastqc.zip
FastQC	all_sections	SRR5264073_1	/nfs/no_backup/jvalcarcel/emancini/anieto/SRR5264073_1_fastqc.zip
FastQC	all_sections	SRR5264057_2	/nfs/no_backup/jvalcarcel/emancini/anieto/SRR5264057_2_fastqc.zip
FastQC	all_sections	SRR5264043_1	/nfs/no_backup/jvalcarcel/emancini/anieto/SRR5264043_1_fastqc.zip
FastQC	all_sections	SRR5264040_2	/nfs/no_backup/jvalcarcel/emancini/anieto/SRR5264040_2_fastqc.zip
FastQC	all_sections	SRR5264040_1	/nfs/no_backup/jvalcarcel/emancini/anieto/SRR5264040_1_fastqc.zip
FastQC	all_sections	SRR5264043_2	/nfs/no_backup/jvalcarcel/emancini/anieto/SRR5264043_2_fastqc.zip
FastQC	all_sections	SRR5264067_1	/nfs/no_backup/jvalcarcel/emancini/anieto/SRR5264067_1_fastqc.zip
